,Station,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName,EXIF.Model,EXIF.Make,metadata_Species,metadata_Number,metadata_Behaviour,metadata_Sex,n_images,metadata_young_present,metadata_Numberofindividuals,HierarchicalSubject
1,G03,porcupine,2018-06-28 8:56,2018-06-28,17:38:42,0,0,0,0,E:/MOK/MOK_Roll1/G03,I_00006a.JPG,E3,CUDDEBACK,porcupine,1,NA,NA,1,NA,NA,"Species, Species|porcupine, Number|1, Number"
2,D06,kudu,2018-06-25 16:13,2018-06-25,7:18:05,0,0,0,0,E:/MOK/MOK_Roll1/D06,I_00003a.JPG,E3,CUDDEBACK,kudu,1,Moving,Female,1,NA,NA,"Species|kudu, Behaviour, Sex|Female, Number|1, Behaviour|Moving, Species, Number, Sex"
3,E06,springbok,2018-06-29 18:33,2018-06-29,0:53:56,353978,5899.6,98.3,4.1,E:/MOK/MOK_Roll1/E06,I__00013.JPG,E3,CUDDEBACK,springbok,1,Moving,NA,1,NA,NA,"Number, Behaviour|Moving, Species, Number|1, Species|springbok, Behaviour"
4,G03,warthog,2018-06-29 18:43,2018-06-29,19:21:38,603,10.1,0.2,0,E:/MOK/MOK_Roll1/G03,I__00014.JPG,E3,CUDDEBACK,warthog,2,Eating_&_Moving,NA,1,NA,NA,"Behaviour, Number, Species, Behaviour|Eating, Behaviour|Moving, Number|2, Species|warthog"
5,D04,rabbitsp,2018-06-26 16:16,2018-06-26,9:09:48,0,0,0,0,E:/MOK/MOK_Roll1/D04,I_00004a.JPG,E3,CUDDEBACK,rabbitsp,1,Moving,NA,1,NA,NA,"Behaviour|Moving, Number|1, Species, Species|rabbitsp, Behaviour, Number"
6,D06,springbok,2018-06-27 9:53,2018-06-27,18:30:19,0,0,0,0,E:/MOK/MOK_Roll1/D06,I_00005a.JPG,E3,CUDDEBACK,springbok,1,Moving,NA,1,NA,NA,"Number|1, Behaviour|Moving, Behaviour, Species, Species|springbok, Number"
7,C05,gemsbokoryx,2018-06-30 9:33,2018-06-30,7:30:52,258014,4300.2,71.7,3,E:/MOK/MOK_Roll1/C05,I_00015a.JPG,E3,CUDDEBACK,gemsbokoryx,1,Moving,NA,1,NA,NA,"Behaviour|Moving, Number|1, Species, Behaviour, Number, Species|gemsbokoryx"
8,B07,zebraburchells,2018-06-28 9:00,2018-06-28,7:49:42,0,0,0,0,E:/MOK/MOK_Roll1/B07,I_00007a.JPG,E3,CUDDEBACK,zebraburchells,3,Moving,NA,1,NA,NA,"Number|3, Species, Number, Species|zebraburchells, Behaviour, Behaviour|Moving"
9,E06,warthog,2018-06-29 7:58,2018-06-29,21:05:06,82689,1378.2,23,1,E:/MOK/MOK_Roll1/E06,I_00009a.JPG,E3,CUDDEBACK,warthog,1,Moving,NA,1,NA,NA,"Behaviour, Number|1, Behaviour|Moving, Species, Number, Species|warthog"
10,C06,zebraburchells,2018-06-29 7:59,2018-06-29,17:43:01,79,1.3,0,0,E:/MOK/MOK_Roll1/C06,I_00010a.JPG,E3,CUDDEBACK,zebraburchells,1,Moving,NA,1,NA,NA,"Behaviour, Number|1, Behaviour|Moving, Species, Number, Species|zebraburchells"
11,F02,warthog,2018-06-29 13:54,2018-06-29,15:34:54,21302,355,5.9,0.2,E:/MOK/MOK_Roll1/F02,I_00011a.JPG,E3,CUDDEBACK,warthog,1,Eating,NA,1,NA,NA,"Species|warthog, Number, Behaviour, Behaviour|Eating, Number|1, Species"
12,B09,zebraburchells,2018-06-29 16:27,2018-06-29,14:00:26,9162,152.7,2.5,0.1,E:/MOK/MOK_Roll1/B09,I_00012a.JPG,E3,CUDDEBACK,zebraburchells,1,Moving,NA,1,NA,NA,"Number, Number|1, Species|zebraburchells, Behaviour, Behaviour|Moving, Species"
13,E06,springbok,2018-06-25 2:19,2018-06-25,2:02:11,0,0,0,0,E:/MOK/MOK_Roll1/E06,I__00002.JPG,E3,CUDDEBACK,springbok,11-50,Standing_&_Resting,NA,1,NA,NA,"Number|11-50, Species, Species|springbok, Number, Behaviour|Standing, Behaviour, Behaviour|Resting"
14,G04,ostrich,2018-08-18 18:06,2018-08-18,10:19:35,0,0,0,0,E:/MOK/MOK_Roll1/G04,I_00124a.JPG,E3,CUDDEBACK,ostrich,1,Moving,Male,1,NA,NA,"Species, Behaviour, Sex|Male, Species|ostrich, Behaviour|Moving, Number|1, Number, Sex"
15,E06,warthog,2018-08-22 13:09,2018-08-22,15:17:19,327770,5462.8,91,3.8,E:/MOK/MOK_Roll1/E06,I_00141a.JPG,E3,CUDDEBACK,warthog,1,Eating,NA,1,NA,NA,"Behaviour|Eating, Number|1, Number, Species, Behaviour, Species|warthog"
16,C06,springbok,2018-08-31 1:36,2018-08-31,21:37:14,735992,12266.5,204.4,8.5,E:/MOK/MOK_Roll1/C06,I__00171.JPG,E3,CUDDEBACK,springbok,1,Eating,NA,1,NA,NA,"Species, Behaviour, Behaviour|Eating, Species|springbok, Number, Number|1"
17,A09,unknown,2018-09-02 22:31,2018-09-02,18:11:28,248091,4134.9,68.9,2.9,E:/MOK/MOK_Roll1/A09,I__00177.JPG,E3,CUDDEBACK,unknown,NA,NA,NA,1,NA,NA,"Species|unknown, Species"
18,D05,hartebeestred,2018-07-04 14:01,2018-07-04,9:26:46,0,0,0,0,E:/MOK/MOK_Roll1/D05,I_00031a.JPG,E3,CUDDEBACK,hartebeestred,1,Moving,NA,1,NA,NA,"Number|1, Behaviour, Number, Species, Behaviour|Moving, Species|hartebeestred"
19,G03,wildebeestblue,2018-08-22 16:53,2018-08-22,0:07:53,0,0,0,0,E:/MOK/MOK_Roll1/G03,I_00142a.JPG,E3,CUDDEBACK,wildebeestblue,1,Moving,NA,1,NA,NA,"Behaviour, Number|1, Behaviour|Moving, Species|wildebeestblue, Species, Number"
20,F03,antelopeunknown,2018-08-22 16:54,2018-08-22,8:05:10,60,1,0,0,E:/MOK/MOK_Roll1/F03,I_00143a.JPG,E3,CUDDEBACK,antelopeunknown,1,Moving,NA,1,Yes,NA,"Number, Behaviour|Moving, Number|1, Behaviour, Species, Species|antelopeunknown"
21,A09,giraffe,2018-07-08 17:23,2018-07-08,12:15:34,0,0,0,0,E:/MOK/MOK_Roll1/A09,I_00038a.JPG,E3,CUDDEBACK,giraffe,2,Standing,NA,1,NA,NA,"Species|giraffe, Behaviour, Number, Behaviour|Standing, Species, Number|2"
22,C06,eland,2018-07-11 6:23,2018-07-11,14:21:24,219617,3660.3,61,2.5,E:/MOK/MOK_Roll1/C06,I__00044.JPG,E3,CUDDEBACK,eland,1,Moving,NA,1,NA,NA,"Species|eland, Behaviour|Moving, Species, Behaviour, Number, Number|1"
23,F03,hartebeestred,2018-07-11 21:53,2018-07-11,1:04:15,55807,930.1,15.5,0.6,E:/MOK/MOK_Roll1/F03,I__00046.JPG,E3,CUDDEBACK,hartebeestred,4,Eating_&_Resting,NA,1,NA,NA,"Number|4, Species, Behaviour|Eating, Number, Behaviour|Resting, Species|hartebeestred, Behaviour"
24,C05,hartebeestred,2018-07-26 17:46,2018-07-26,7:31:25,1281167,21352.8,355.9,14.8,E:/MOK/MOK_Roll1/C05,I_00075a.JPG,E3,CUDDEBACK,hartebeestred,1,Moving,NA,1,NA,NA,"Species, Species|hartebeestred, Number|1, Number, Behaviour, Behaviour|Moving"
25,C06,buffalo,2018-07-29 0:51,2018-07-29,14:49:27,198255,3304.2,55.1,2.3,E:/MOK/MOK_Roll1/C06,I__00080.JPG,E3,CUDDEBACK,buffalo,3,Moving,NA,1,NA,NA,"Number|3, Number, Behaviour|Moving, Species, Behaviour, young_present, Species|buffalo, young_present|Yes"
26,E06,unknown,2018-08-14 17:57,2018-08-14,21:08:31,1444005,24066.8,401.1,16.7,E:/MOK/MOK_Roll1/E06,I_00112a.JPG,E3,CUDDEBACK,unknown,NA,NA,NA,1,NA,NA,"Species, Species|unknown"
27,B09,warthog,2018-08-29 3:11,2018-08-29,0:15:09,1242827,20713.8,345.2,14.4,E:/MOK/MOK_Roll1/B09,I__00167.JPG,E3,CUDDEBACK,warthog,1,Moving,NA,1,NA,NA,"Species|warthog, Number, Number|1, Behaviour, Behaviour|Moving, Species"
28,C05,zebraburchells,2018-09-02 4:05,2018-09-02,2:50:30,348821,5813.7,96.9,4,E:/MOK/MOK_Roll1/C05,I__00174.JPG,E3,CUDDEBACK,zebraburchells,1,Standing,NA,1,NA,NA,"Behaviour, Number|1, Behaviour|Standing, Species, Number, Species|zebraburchells"
29,E06,zebraburchells,2018-08-11 16:09,2018-08-11,18:59:15,0,0,0,0,E:/MOK/MOK_Roll1/E06,I_00101a.JPG,E3,CUDDEBACK,zebraburchells,1,Moving,NA,1,NA,NA,"Behaviour|Moving, Number, Behaviour, Number|1, Species|zebraburchells, Species"
30,E06,eland,2018-08-07 23:32,2018-08-07,22:08:13,0,0,0,0,E:/MOK/MOK_Roll1/E06,I__00092.JPG,E3,CUDDEBACK,eland,1,Eating,NA,1,NA,NA,"Species|eland, Behaviour|Eating, Number|1, Species, Behaviour, Number"
31,B09,wildebeestblue,2018-07-11 19:55,2018-07-11,13:09:25,0,0,0,0,E:/MOK/MOK_Roll1/B09,I__00045.JPG,E3,CUDDEBACK,wildebeestblue,1,Moving,NA,1,NA,NA,"Behaviour|Moving, Number, Behaviour, Number|1, Species, Species|wildebeestblue"
32,E06,ostrich,2018-08-13 0:05,2018-08-13,16:46:58,2779811,46330.2,772.2,32.2,E:/MOK/MOK_Roll1/E06,I__00105.JPG,E3,CUDDEBACK,ostrich,1,Moving,Male,1,NA,NA,"Behaviour|Moving, Sex|Male, Species, Behaviour, Species|ostrich, Number, Number|1, Sex"
33,C06,gemsbokoryx,2018-08-17 7:03,2018-08-17,23:58:54,370681,6178,103,4.3,E:/MOK/MOK_Roll1/C06,I_00118a.JPG,E3,CUDDEBACK,gemsbokoryx,1,Moving,NA,1,NA,NA,"Species|gemsbokoryx, Number, Number|1, Behaviour, Species, Behaviour|Moving"
34,C05,buffalo,2018-08-17 7:10,2018-08-17,9:08:49,412,6.9,0.1,0,E:/MOK/MOK_Roll1/C05,I_00119a.JPG,E3,CUDDEBACK,buffalo,6,Resting_&_Moving_&_Standing,NA,1,NA,NA,"Number, Behaviour|Resting, Species|buffalo, Behaviour, Behaviour|Moving, Species, Behaviour|Standing, Number|6"
35,E06,eland,2018-08-07 7:35,2018-08-07,22:11:15,0,0,0,0,E:/MOK/MOK_Roll1/E06,I_00090a.JPG,E3,CUDDEBACK,eland,1,Moving,NA,1,NA,NA,"Number, Behaviour|Moving, Behaviour, Number|1, Species|eland, Species"
36,G04,kudu,2018-08-07 7:41,2018-08-07,3:33:37,322,5.4,0.1,0,E:/MOK/MOK_Roll1/G04,I_00091a.JPG,E3,CUDDEBACK,kudu,1,Moving,Female,1,NA,NA,"Number, Behaviour, Sex, Behaviour|Moving, Sex|Female, Species, Species|kudu, Number|1"
