capture_id,season,site,roll,capture,capture_date_local,capture_time_local,zooniverse_url_0,zooniverse_url_1,zooniverse_url_2,subject_id,question__species,question__count_max,question__count_median,question__count_min,question__standing,question__resting,question__moving,question__eating,question__interacting,question__young_present,question__horns_visible,p_users_identified_this_species,pielous_evenness_index
APN_S1#K021#1#32,APN_S1,K021,1,32,2017-07-06,13:56:29,https://panoptes-uploads.zooniverse.org/production/subject_location/12ced-0a4ae-08f79-0b5f1-1141f.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0aecc-180ee-0ef2c-0ef2c-168fa.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/038b4-17531-123a6-0872f-046dc.jpeg,17260415,elephant,1,1,1,0.19,0,0.81,0,0,0,0,0.84,0.49
APN_S1#DW#2#94,APN_S1,DW,2,94,2017-07-06,18:16:19,https://panoptes-uploads.zooniverse.org/production/subject_location/0f158-16764-0e8c1-074fc-0f158.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0a3dd-0995b-16499-168aa-10b9d.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/11744-11744-02c31-02c31-06aae.jpeg,17754007,impala,6,6,5,0.24,0,0.24,0.88,0,0.06,0,0.85,0.47
APN_S1#U64c#2#208,APN_S1,U64c,2,208,2017-07-06,14:49:11,https://panoptes-uploads.zooniverse.org/production/subject_location/15ef4-10ef3-0643f-0dbe5-0e3aa.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/100a4-09293-06a39-0b6c6-097f2.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0e8e6-02c31-11e1c-105f4-15df2.jpeg,17153920,impala,3,2,1,0.71,0,0.59,0.35,0,0,0.06,0.89,0.47
APN_S1#K053#2#84,APN_S1,K053,2,84,2017-07-07,17:59:10,https://panoptes-uploads.zooniverse.org/production/subject_location/02de0-03b2b-13c34-0cdef-09168.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0426a-0be8a-06f8b-092aa-0832d.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/11e1c-15eee-0bd6b-0eccd-09b53.jpeg,17274967,impala,1,1,1,0.17,0,0.89,0,0,0,NA,0.95,0.3
APN_S1#KUMH#2#385,APN_S1,KUMH,2,385,2017-07-09,16:24:18,https://panoptes-uploads.zooniverse.org/production/subject_location/12538-0667b-16e94-04a51-091a6.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0a9c0-100a4-03486-0832d-17b24.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/02eda-16d18-046dc-05f3e-0aa7a.jpeg,17058335,zebraburchells,1,1,1,0.16,0,0.11,0.89,0,0,0.89,0.95,0.29
APN_S1#U63c#1#133,APN_S1,U63c,1,133,2017-07-10,14:53:32,https://panoptes-uploads.zooniverse.org/production/subject_location/1586a-0f158-0b790-0921b-16764.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0995b-183ff-08144-168fa-12a2d.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/146e5-18572-02eda-12f95-082d3.jpeg,17583801,impala,1,1,1,0.53,0,0.47,0,0,0,1,0.75,0.58
APN_S1#WM#1#13,APN_S1,WM,1,13,2017-07-10,17:45:04,https://panoptes-uploads.zooniverse.org/production/subject_location/02fa5-0fca6-08285-0962b-0c62b.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/093b7-0ec1b-09f3a-157fb-0b381.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/17531-06aae-0ac28-0577b-13ab0.jpeg,17116257,elephant,3,2,1,0,0,0.5,0.93,0,0,0,0.74,0.58
APN_S1#JJ5#2#50,APN_S1,JJ5,2,50,2017-07-10,10:55:44,https://panoptes-uploads.zooniverse.org/production/subject_location/02b91-10062-166e4-0f768-06581.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/183ec-168aa-10105-0995b-04e47.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0577b-16735-12f95-048a8-150e7.jpeg,17990301,duiker,6,5,5,0.13,0,0.07,1,0,0,0.07,0.79,0.6
APN_S1#JJ6#2#82,APN_S1,JJ6,2,82,2017-07-10,23:08:39,https://panoptes-uploads.zooniverse.org/production/subject_location/0643f-0e3b0-09aa9-095a2-09aa9.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/10c3d-06a39-0aebd-0d2be-10c3d.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0780c-12f8d-062c9-0e220-08df3.jpeg,17170749,impala,5,4,1,0.24,0,0.47,0.94,0,0.12,0,0.94,0.31
APN_S1#U64c#2#44,APN_S1,U64c,2,44,2017-07-11,7:13:06,https://panoptes-uploads.zooniverse.org/production/subject_location/0e14e-0847e-0c740-06581-0e8c1.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/183ff-0832d-17ba7-10eee-032c0.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/108b6-17f9e-065a2-06a1a-15eee.jpeg,17330460,elephant,2,1,1,0.29,0,0.14,0.86,0,0,0,0.93,0.35
APN_S1#K014#1#143,APN_S1,K014,1,143,2017-07-11,23:01:41,https://panoptes-uploads.zooniverse.org/production/subject_location/08799-0f768-12658-12eee-11abf.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/04e47-11a43-146ad-02c37-0964f.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/15df2-0e8e6-17a8d-05ac3-05154.jpeg,17606497,impala,4,2,1,0.1,0,0,0.9,0,0,0,0.91,0.44
APN_S1#K051#1#185,APN_S1,K051,1,185,2017-07-11,15:50:37,https://panoptes-uploads.zooniverse.org/production/subject_location/111f8-0a76a-13d27-162f6-0b790.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/11d29-07218-08b07-167b7-042c2.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/08df3-15dd4-0b995-0eb9a-05f3e.jpeg,17659572,lioncub,1,1,1,0.06,0,1,0,0,0,0,0.85,0.61
APN_S1#UMH8#1#74,APN_S1,UMH8,1,74,2017-07-11,9:16:50,https://panoptes-uploads.zooniverse.org/production/subject_location/1640f-08f79-0e3b0-02de0-15d0d.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/1744c-0aebd-08db3-130db-11e98.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/03044-0a48d-15df2-11744-09b28.jpeg,17507298,impala,5,4,3,0.07,0,1,0.2,0,0.4,0,0.83,0.51
APN_S1#JJ7#2#79,APN_S1,JJ7,2,79,2017-07-11,2:43:40,https://panoptes-uploads.zooniverse.org/production/subject_location/0962b-057c2-10ef3-18603-09add.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0f371-166bd-07fe2-0a828-11d29.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/12f8d-0780c-1456f-02ab4-0b995.jpeg,17320221,giraffe,2,2,1,0.18,0,0.73,1,0,0,0,0.65,0.69
APN_S1#UMH9#1#237,APN_S1,UMH9,1,237,2017-07-11,7:52:42,https://panoptes-uploads.zooniverse.org/production/subject_location/068bf-0e5a0-0532a-1586a-0f768.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0aebd-0e983-0b381-183ff-1373f.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/053f9-13ab0-05208-04e32-0a1c9.jpeg,17627110,elephant,1,1,1,0,0,0.94,0.06,0,0,1,0.95,0.64
APN_S1#K051#2#300,APN_S1,K051,2,300,2017-07-12,18:06:41,https://panoptes-uploads.zooniverse.org/production/subject_location/0da67-0c740-057c2-13d27-17a2b.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/092aa-17cf3-1373f-07190-17f05.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/02ab4-0eb9a-13ab0-05607-0a7b4.jpeg,17437691,impala,1,1,1,0.18,0,0.88,0.06,0,0,NA,0.85,0.42
APN_S1#U64c#1#87,APN_S1,U64c,1,87,2017-07-12,9:54:59,https://panoptes-uploads.zooniverse.org/production/subject_location/089ce-089ce-067c9-0e49a-074fc.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/1181a-07c76-0fdde-04b3a-06f8b.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0aa7a-04293-0f7ea-108b6-062c9.jpeg,17094216,impala,1,1,1,0.06,0,1,0,0,0,NA,0.84,0.63
APN_S1#U43b#1#118,APN_S1,U43b,1,118,2017-07-12,19:55:04,https://panoptes-uploads.zooniverse.org/production/subject_location/0f768-14776-10362-10362-02b91.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/12a2d-11e98-11e98-0ac2e-131b9.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/12467-05f3e-0feb2-05c31-0dba5.jpeg,17904289,elephant,1,1,1,0.07,0,0.93,0,0,0,0,0.78,0.6
APN_S1#U63c#1#54,APN_S1,U63c,1,54,2017-07-12,16:34:30,https://panoptes-uploads.zooniverse.org/production/subject_location/10062-04698-15d0d-08a2e-0bb66.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/10105-0544f-0e983-0fdde-16499.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/04b17-0eccd-0872f-0bd1e-0a9ab.jpeg,17376453,impala,2,1,1,0,0,0,1,0,0,0,0.94,0.31
APN_S1#U63c#1#14,APN_S1,U63c,1,14,2017-07-12,5:32:40,https://panoptes-uploads.zooniverse.org/production/subject_location/0295e-068bf-02de0-04d21-0e49a.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/180c5-130db-0964f-11a43-0e983.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/105f4-0285d-0780c-131b6-0f388.jpeg,17252634,impala,3,1,1,0.19,0,0.12,1,0,0,0,0.8,0.48
APN_S1#U63c#1#45,APN_S1,U63c,1,45,2017-07-12,11:40:03,https://panoptes-uploads.zooniverse.org/production/subject_location/0a4ae-02b91-0fca6-0f158-04d81.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0efee-10105-0995b-02b32-180ee.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/17d44-0caed-082d3-16d18-131b6.jpeg,17362254,elephant,2,1,1,0.12,0,0.88,0.06,0,0,0.06,0.94,0.32
APN_S1#U64c#2#184,APN_S1,U64c,2,184,2017-07-12,14:20:32,https://panoptes-uploads.zooniverse.org/production/subject_location/0dbe5-111f8-0921b-08799-1586a.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0fdde-08db3-093b7-0964f-03ce5.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0ac28-17320-0a7b4-151f0-109f8.jpeg,17079988,impala,3,2,2,0,0,1,0,0,0.07,0,0.79,0.53
APN_S1#K011#2#120,APN_S1,K011,2,120,2017-07-13,12:33:42,https://panoptes-uploads.zooniverse.org/production/subject_location/08285-1586a-0a76a-091a6-0ad29.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/06f15-180c5-0b9eb-0aebd-06a39.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0285d-02eda-0a2e6-065a2-0794b.jpeg,17021266,elephant,2,1,1,0.06,0,0.94,0,0,0.06,0,0.94,0.32
APN_S1#K034#1#6,APN_S1,K034,1,6,2017-07-13,7:28:15,https://panoptes-uploads.zooniverse.org/production/subject_location/13552-095a2-0a4ae-0847e-10062.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/07c76-02cd3-157fb-06f8b-0544f.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/062c9-05607-099d2-0b995-02eda.jpeg,17258040,giraffe,1,1,1,0.06,0,0.94,0.06,0,0,0,0.94,0.32
