zooniverse,traptagger,digikam,new
capture_id,capture_id,,capture_id
season,,,season
site,,Station,cam_site
roll,,,roll
capture,,,capture
,,,location_code
,,DateTimeOriginal,
capture_date_local,date,Date,date
capture_time_local,time,Time,time
zooniverse_url_0,capture_url,file_path_1,file_path_1
zooniverse_url_1,,,file_path_2
zooniverse_url_2,,,file_path_3
subject_id,,,zooniverse_id
question__species,capture_label,Species,common_name
question__count_max,,,count_max
question__count_median,,metadata_Number,count_median
question__count_min,,,count_min
question__standing,,Standing,standing
question__resting,,Resting,resting
question__moving,,Moving,moving
question__eating,,Eating,eating
question__interacting,,Interacting,interacting
question__drinking,,Drinking,drinking
question__young_present,,metadata_young_present,young_present
question__horns_visible,,,horns_visible
p_users_identified_this_species,,,consensus_species
pielou_evenness_index,,,pielou_evenness_index
,,,classifier
,,delta.time.secs,
,,delta.time.mins,
,,delta.time.hours,
,,delta.time.days,
,,EXIF.Model,
,,EXIF.Make,
,,metadata_Species,
,,metadata_Sex,
,,metadata_NumberOfIndividuals,
,,n_images,
,,HierarchicalSubject,
